metric,S83S_mean,S83S_std,Bimodal_mean,Bimodal_std,diff_Bimodal_minus_S83S,pooled_std,effect_size,family
delta_mech_vs_chem_ratio,0.6168137425654739,0.05609075862324852,1.541004408651509,0.0280001007236341,0.924190666086035,0.044329329136956176,20.84828902397176,delta_aging
delta_SoHQ,-8.213599778277702,0.16429616141929085,-9.95691792701417,0.1350449563131093,-1.743318148736467,0.15038345800440167,-11.592486114300156,delta_aging
delta_LAM_PE_pattern_score,0.3009337067884475,0.02502598588278987,0.3783849197789162,0.0025778964360399313,0.0774512129904687,0.017789681270901754,4.353715606875666,delta_aging
delta_NE_side_score,0.09641995413231792,0.007522065765115504,0.13039701322033548,0.010077339208411277,0.033977059088017555,0.008891969379617372,3.821094927058736,delta_aging
delta_contact_loss_score,0.0937654520058852,0.027836000787516278,0.22165083753038387,0.04657393525535849,0.12788538552449868,0.03836648527695058,3.333257779579,delta_aging
delta_contact_stack_score,0.0937654520058852,0.027836000787516278,0.22165083753038387,0.04657393525535849,0.12788538552449868,0.03836648527695058,3.333257779579,delta_aging
delta_PE_side_score,0.2534114840675484,0.030856812786458538,0.30386367242450435,0.0043117137123932755,0.050452188356955974,0.022031043671104093,2.290049854657092,delta_aging
delta_RCF,-0.0034391441356238506,0.002094205682201101,-0.0001454469035260253,0.002191659091875212,0.0032936972320978253,0.0021434862974092765,1.5366075519487812,delta_aging
delta_Q_relax_pct,0.44963079781846976,0.12914035490132816,0.5222416779333844,0.04294629987446514,0.07261088011491462,0.096233091857605,0.7545313022089751,delta_aging
delta_LLI_pattern_score,0.25778200822046726,0.004379741363542871,0.2627090945991533,0.027043836458547448,0.004927086378686052,0.019372031705634136,0.25434019794903934,delta_aging
delta_si_cosign,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,0.0,2.7755575615628914e-17,,delta_aging
early_LAM_curve_proxy,-4.069680724644923,0.07229593788502342,-2.6037065873366925,0.062428598673788756,1.4659741373082302,0.0675426997056238,21.7044054160922,early
early_mech_vs_chem_ratio,1.893916273271377,0.026213608632256014,1.4876873294352102,0.01573842848360461,-0.4062289438361668,0.02162003016485666,-18.789471649141895,early
early_hyst_area_low,0.07303260038940222,0.0006818888795760439,0.08406880164774809,0.0005455616211437755,0.011036201258345868,0.0006174989581183506,17.872420857154964,early
early_R_ohmic_soc50,1.3680263453852628,0.018857497066174934,1.089761112878916,0.014908883201166323,-0.2782652325063468,0.01699823511289945,-16.370242596255167,early
early_VE,0.8904411909849838,0.0013782673793099418,0.9025998103745044,0.0010527249160659589,0.012158619389520675,0.0012263463454049136,9.91450697030141,early
early_LLI_curve_proxy,-0.44689881102873646,0.07731850701752088,0.25173603858802795,0.07757315729975531,0.6986348496167645,0.07744593682328017,9.020936130076684,early
early_RCF,0.9588078894543378,0.0007708773676778752,0.9662639614722254,0.0010500904746671938,0.007456072017887561,0.0009211248343695719,8.094529362017017,early
early_SoHQ,95.88078894543378,0.07708773676779425,96.62639614722252,0.1050090474667158,0.7456072017887436,0.09211248343695795,8.094529362016814,early
early_CE,108.41744588732354,0.9560542416304456,103.23192381897832,0.8995239345756849,-5.185522068345222,0.9282195380980965,-5.5865254452306115,early
early_EE,0.9698074833603698,0.006724269950456626,0.9336335518233098,0.007007667643444304,-0.036173931537060056,0.006867430821187434,-5.267462094478775,early
early_dchg_dQdV_peak1_V,3.1600208594431227,0.0013670153338185933,3.1698973256558536,0.002353345715454778,0.009876466212730861,0.0019244436831646337,5.13211495827698,early
early_LLI_pattern_score,0.382383445094537,0.007715472842630054,0.3231060635113389,0.017944305390335456,-0.05927738158319806,0.013811709110877335,-4.291820882363826,early
early_hyst_area_high,0.219589874848637,0.0015625398331612452,0.21534001471022135,0.000477067104303988,-0.004249860138415662,0.0011552323905224793,-3.6787923999374437,early
early_dchg_dQdV_peak2_V,3.633530857927448,0.003995129607770997,3.6451330566777016,0.0025662187111142837,0.011602198750253478,0.0033575689908147454,3.455535472835689,early
early_R_ct_soc50,0.7223360515788894,0.0034635806702529802,0.73250704021308,0.004635029992654064,0.010170988634190636,0.004091448037807203,2.485914165401876,early
early_Q_relax_pct,-0.5352670901937382,0.03717983951910152,-0.4636960208535798,0.016783334933328793,0.07157106934015839,0.028844590464681914,2.4812648814616356,early
early_knee_cycle_bw,30.0,0.0,36.666666666666664,4.714045207910317,6.666666666666664,3.3333333333333335,1.9999999999999991,early
early_NE_side_score,0.18676451203003727,0.008400532002422098,0.16892519944533388,0.010696347684861062,-0.017839312584703393,0.00961719272238917,-1.8549397001448078,early
early_contact_loss_score,0.8405649589048911,0.02882920482631615,0.7678418156606082,0.04861976220391382,-0.07272314324428297,0.039968764852587185,-1.8194993893982088,early
early_contact_stack_score,0.8405649589048911,0.02882920482631615,0.7678418156606082,0.04861976220391382,-0.07272314324428297,0.039968764852587185,-1.8194993893982088,early
early_delta_dchg_plateau_V,-0.03851804505098729,0.0035412333256311258,-0.034412555010996826,0.00017813576421543304,0.004105490039990466,0.002507196224575681,1.6374825391599657,early
early_LAM_PE_pattern_score,0.5932915012676467,0.017806474801209657,0.5718549397313737,0.00739012405437699,-0.021436561536273047,0.013632396678229325,-1.5724719608920141,early
early_fade_exponent_b,0.6226752692962759,0.012669356721980204,0.6525351778306786,0.03556389294077279,0.02985990853440268,0.0266955340914125,1.118535723321906,early
early_chg_dQdV_peak1_V,3.634515666263478,0.08336417515443671,3.577670158204782,0.08740696422633744,-0.05684550805869604,0.08540949330854222,-0.6655642816348454,early
