arm,cell_id,path,q_nominal_ah,expected_pulse_current,baseline_cycle,n_cycles_raw,n_sampled,role_counts,n_early_points,cycle_start,cycle_end,early_SoHQ,early_CE,early_VE,early_EE,early_chg_dQdV_peak1_V,early_chg_dQdV_peak2_V,early_chg_dQdV_peak3_V,early_dchg_dQdV_peak1_V,early_dchg_dQdV_peak2_V,early_hyst_area_low,early_hyst_area_high,early_dchg_plateau_width,early_delta_dchg_plateau_V,early_RCF,early_R_ohmic_soc50,early_R_ct_soc50,early_mech_vs_chem_ratio,early_Q_relax_pct,early_LAM_curve_proxy,early_LLI_curve_proxy,early_LAM_PE_pattern_score,early_contact_loss_score,early_LLI_pattern_score,early_PE_side_score,early_contact_stack_score,early_NE_side_score,early_si_cosign,early_fade_exponent_b,early_knee_cycle_bw,n_late_points,SoHQ_end,late_LAM_PE_pattern_score,late_contact_loss_score,late_LLI_pattern_score,late_interface_R_score,late_solid_diffusion_score,late_PE_side_score,late_contact_stack_score,late_NE_side_score,late_si_cosign,late_R_ohmic_growth_100,late_mech_vs_chem_ratio,late_RCF,late_SoHQ,late_Q_relax_pct,delta_LAM_PE_pattern_score,delta_contact_loss_score,delta_LLI_pattern_score,delta_PE_side_score,delta_contact_stack_score,delta_NE_side_score,delta_si_cosign,delta_mech_vs_chem_ratio,delta_RCF,delta_SoHQ,delta_Q_relax_pct,fade_exponent_b,knee_cycle_bw
S83S,M02Ch103,example/fixtures/doe/DOE3/S83S/M02Ch103_raw.csv,69.021,109.425,7,240,45,"{'routine_05c': 30, 'dcir_pulse': 9, 'rpt_c3': 6}",8,200,239,95.91922005571031,109.16092283049429,0.8917817142203612,0.9740890441863819,3.6260271995371225,3.7567145768762544,3.9640623480055073,3.161953621183827,3.6282382841911254,0.07347641603757882,0.21826160942410666,17.041152304609216,-0.03356019415601308,0.9591922005571032,1.36156501128282,0.7174584411637338,1.8977615052857009,-0.513927576601671,-4.1269997085422006,-0.5537754529549509,0.5681517699556506,0.8012884508832312,0.3923859053584243,0.5075276696006774,0.8012884508832312,0.17628345919431088,0.2,0.637574386854086,30.0,8,87.36072423398329,0.8347505618085878,0.9343801846853296,0.6563469200954752,0.8467667145672766,0.7211418524932766,0.7260629213564407,0.9343801846853296,0.28265000586731226,0.4,0.47811676280679544,2.5915758043721664,0.9544236330875338,87.78969359331477,0.10599155095923471,0.2665987918529371,0.13309173380209838,0.2639610147370509,0.21853525175576327,0.13309173380209838,0.10636654667300138,0.2,0.6938142990864655,-0.00476856746956944,-8.129526462395546,0.6199191275609057,0.637574386854086,30.0
S83S,M02Ch104,example/fixtures/doe/DOE3/S83S/M02Ch104_raw.csv,68.891,109.445,7,240,45,"{'routine_05c': 30, 'dcir_pulse': 9, 'rpt_c3': 6}",8,210,240,95.9499253345987,107.06770378811736,0.8885454990164122,0.9603131400544668,3.7405947561260198,3.764621898641215,3.9646762299467557,3.1590167900520285,3.6344645186517828,0.07206925516474702,0.22178341245066202,17.114754509018038,-0.04160957647073005,0.959499253345987,1.3936645148545057,0.7243859171156954,1.9239254683521356,-0.5875539056285043,-3.9677003317488024,-0.41346711019646204,0.6045959620715707,0.8696743012689621,0.3811579100350349,0.5040352469079813,0.8696743012689621,0.1968490094920553,0.2,0.6066070608770795,30.0,8,87.68788466637824,0.9301325258723068,0.9422445941563746,0.6362220471652272,0.8664789617931399,0.6748736661014934,0.7975993944042301,0.9422445941563746,0.2850289897323034,0.4,0.46676069603155496,2.5187448566236923,0.9590167679444419,87.88187514828408,-0.28022722773030795,0.32553656380073603,0.07257029288741257,0.2550641371301923,0.2935641474962488,0.07257029288741257,0.08817998024024809,0.2,0.5948193882715567,-0.00048248540154505193,-8.068050186314622,0.30732667789819634,0.6066070608770795,30.0
S83S,M02Ch105,example/fixtures/doe/DOE3/S83S/M02Ch105_raw.csv,69.593,109.411,7,240,45,"{'routine_05c': 30, 'dcir_pulse': 9, 'rpt_c3': 6}",8,210,240,95.7732214459923,109.02371104335897,0.8909963597181777,0.9750202658402605,3.5369250431272916,3.7487300142576774,3.9709475486335,3.1590921670935135,3.637889770939437,0.07355212996588081,0.21872460267114238,17.533410821643287,-0.04038436452621874,0.9577322144599232,1.348849510018462,0.7251637964572387,1.8600618461762946,-0.5043197883510393,-4.114342133643767,-0.37345386993479646,0.6071267717757189,0.8507321245624803,0.3736065198901518,0.5402093494149081,0.8507321245624803,0.18716106740374566,0.2,0.6238443601576621,30.0,8,87.20460777424111,0.9177925364873882,0.9263664538906249,0.6279273926843103,0.8473468231062977,0.7382467402055146,0.7883444023655412,0.9263664538906249,0.28187440288744997,0.4,0.449829556952475,2.421869386514694,0.9526658349241661,87.32999875986937,-0.08267320035473208,0.3106657647116693,0.07563432932814462,0.2543208727941585,0.2481350529506331,0.07563432932814462,0.09471333548370431,0.2,0.5618075403383995,-0.00506637953575706,-8.443222686122937,0.4216465879963072,0.6238443601576621,30.0
Bimodal,M02Ch109,example/fixtures/doe/DOE3/Bimodal/M02Ch109_raw.csv,66.933,105.947,7,241,45,"{'routine_05c': 30, 'dcir_pulse': 9, 'rpt_c3': 6}",8,200,240,96.65938769902672,104.3340574706213,0.9028003370941078,0.942345989756795,3.525529758036103,3.7301932662795725,3.9551418920422363,3.168194481925995,3.6439676690437244,0.08414933336864769,0.21525381870111554,17.135455911823644,-0.03441007225516768,0.9665938769902673,1.1065948604773397,0.7330619913105731,1.5095515435181164,-0.45987649857553664,-2.542444600146343,0.27695214773256666,0.5689786637094802,0.8274806887401438,0.29819520628043855,0.5044833878507187,0.8274806887401438,0.1820457515228317,0.2,0.6819415423650813,40.0,8,86.16465892493022,0.9498929292499034,0.9914895569144025,0.5954639269862294,0.8373062660095157,0.6246708104779151,0.8124196969374275,0.9914895569144025,0.29992764619278933,0.4,0.7897541330240453,3.0682721794356898,0.9633574879227054,86.51535090890685,0.10789049919484729,0.3809142655404232,0.16400886817425875,0.29726872070579086,0.3079363090867089,0.16400886817425875,0.11788189466995763,0.2,1.5587206359175734,-0.003236389067561962,-10.14403679011987,0.567766997770384,0.6819415423650813,40.0
Bimodal,M02Ch110,example/fixtures/doe/DOE3/Bimodal/M02Ch110_raw.csv,66.817,105.947,7,241,45,"{'routine_05c': 30, 'dcir_pulse': 9, 'rpt_c3': 6}",8,210,241,96.48450492400688,103.23103062370342,0.9037771175213296,0.9333677090792198,3.506678521836354,3.7131375134179683,3.9476221024810787,3.173225155505836,3.648692262120207,0.0846930598313661,0.21480361532994477,16.95822845691383,-0.03463195665724994,0.9648450492400689,1.0703496538759116,0.7265732163273985,1.4731476881107675,-0.4858931902647807,-2.6893941118131037,0.331591506444265,0.5819945820658862,0.7083875089760266,0.3313681595703719,0.5231443201380943,0.7083875089760266,0.15584525197472587,0.2,0.6024959655755671,40.0,8,86.55695506934102,0.9613886215153782,0.9864591444866702,0.5909846825014107,0.8256506402374917,0.5909174768591964,0.8210414661365336,0.9864591444866702,0.2984038912072178,0.4,0.7355575422958265,2.9746246184570935,0.9660460463690486,86.58804644907522,0.048401929623596164,0.379394039449492,0.2780716355106435,0.25961652293103876,0.2978971459984393,0.2780716355106435,0.1425586392324919,0.2,1.501476930346326,0.0012009971289796972,-9.896458474931663,0.5342951198883769,0.6024959655755671,40.0
Bimodal,M02Ch111,example/fixtures/doe/DOE3/Bimodal/M02Ch111_raw.csv,67.074,105.964,7,239,45,"{'routine_05c': 30, 'dcir_pulse': 9, 'rpt_c3': 6}",8,200,238,96.73529581863397,102.1306833626102,0.9012219765080758,0.9251869566339147,3.7008021947418897,3.8205835467294884,4.053743858545036,3.16827233953573,3.642739238869172,0.08336401174323047,0.21596261009960366,17.29610120240481,-0.03419563612057286,0.9673529581863398,1.0923388242834964,0.7378859130012685,1.4803627566767474,-0.44531837372042204,-2.5792810500506302,0.14666446158725222,0.5645915734187548,0.7676572492656543,0.3397548246832062,0.49882095863582604,0.7676572492656543,0.16888459483844398,0.2,0.6731680255513875,30.0,8,86.80816609797004,0.939438027765588,0.9905292581719036,0.5709968648438365,0.8500505821571329,0.5516168993545341,0.8045785208241909,0.9905292581719036,0.2996351005970009,0.4,0.7864196937184406,3.043178416367374,0.968952009414344,86.905037302643,0.019344542420970216,0.3748464543468333,0.22287200890624936,0.23124204016063027,0.30575756218836486,0.22287200890624936,0.1307505057585569,0.2,1.5628156596906266,0.001599051228004189,-9.830258515990977,0.46466291614139227,0.6731680255513875,30.0
