metric,title_ko,unit,family,aging_hint,n,cycle_start,cycle_end,early_median,late_median,delta_late_early,pct_change,slope_per_100,trend_label,vs_expectation,note
chg_V_cutoff,충전 전압 컷오프,V,protocol,either,30,7.0,240.0,4.200026,4.2001195,9.349999999930247e-05,0.0022261766950800416,4.943252015987618e-05,flat,context,"충전 전압 컷오프: early=4.2 → late=4.2 (Δ=+9.35e-05, +4.943e-05V/100cyc) → flat · context"
dchg_V_cutoff,방전 전압 컷오프,V,protocol,either,30,7.0,240.0,2.499973,2.4999743,1.3000000000928935e-06,5.200056160978113e-05,-8.794762981288391e-07,flat,context,"방전 전압 컷오프: early=2.5 → late=2.5 (Δ=+1.3e-06, -8.795e-07V/100cyc) → flat · context"
chg_I_cutoff,충전 전류 컷오프,A,protocol,either,30,7.0,240.0,34.845,34.808,-0.036999999999999034,-0.10618453149662516,2.9760604695768924,increasing,context,"충전 전류 컷오프: early=34.84 → late=34.81 (Δ=-0.037, +2.976A/100cyc) → increasing · context"
chg_temp_avg,충전 평균 온도,C,protocol,either,30,7.0,240.0,0.0,0.0,0.0,,0.0,flat,context,"충전 평균 온도: early=0 → late=0 (Δ=+0, +0C/100cyc) → flat · context"
dchg_temp_avg,방전 평균 온도,C,protocol,either,30,7.0,240.0,0.0,0.0,0.0,,0.0,flat,context,"방전 평균 온도: early=0 → late=0 (Δ=+0, +0C/100cyc) → flat · context"
cycle_duration_h,사이클 소요시간,h,protocol,either,30,7.0,240.0,5.109402777777779,4.916388888888889,-0.19301388888889015,-3.7776213245188166,-0.06350447473402325,flat,context,"사이클 소요시간: early=5.109 → late=4.916 (Δ=-0.193, -0.0635h/100cyc) → flat · context"
SoHQ,용량 유지율,%,capacity,decrease,30,7.0,240.0,97.11247261105603,87.68788466637824,-9.424587944677796,-9.70481719935615,-3.445686034551781,flat,stable,"용량 유지율: early=97.11 → late=87.69 (Δ=-9.425, -3.446%/100cyc) → flat · stable"
dchgCapa,방전 용량,Ah,capacity,decrease,30,7.0,240.0,69.584,62.831,-6.753,-9.704817199356173,-2.468937414337387,flat,stable,"방전 용량: early=69.58 → late=62.83 (Δ=-6.753, -2.469Ah/100cyc) → flat · stable"
chgCapa,충전 용량,Ah,capacity,decrease,30,7.0,240.0,66.245,53.464,-12.781000000000006,-19.293531587289614,-4.958745452357027,decreasing,matches_aging,"충전 용량: early=66.25 → late=53.46 (Δ=-12.78, -4.959Ah/100cyc) → decreasing · matches_aging"
chgCCcapa,CC 충전용량,Ah,capacity,decrease,30,7.0,240.0,64.08200000000001,53.198,-10.884000000000007,-16.984488623950572,-4.389237859686066,decreasing,matches_aging,"CC 충전용량: early=64.08 → late=53.2 (Δ=-10.88, -4.389Ah/100cyc) → decreasing · matches_aging"
