metric,title_ko,unit,family,aging_hint,n,cycle_start,cycle_end,early_median,late_median,delta_late_early,pct_change,slope_per_100,trend_label,vs_expectation,note
chg_V_cutoff,충전 전압 컷오프,V,protocol,either,30,7.0,241.0,4.1995373,4.199604,6.669999999964205e-05,0.0015882702125217948,2.690850611233111e-05,flat,context,"충전 전압 컷오프: early=4.2 → late=4.2 (Δ=+6.67e-05, +2.691e-05V/100cyc) → flat · context"
dchg_V_cutoff,방전 전압 컷오프,V,protocol,either,29,7.0,240.0,2.499983,2.499988,5.000000000254801e-06,0.00020000136001944017,-1.7729735654452844e-07,flat,context,"방전 전압 컷오프: early=2.5 → late=2.5 (Δ=+5e-06, -1.773e-07V/100cyc) → flat · context"
chg_I_cutoff,충전 전류 컷오프,A,protocol,either,30,7.0,241.0,33.445,33.596,0.15099999999999625,0.4514875168186463,-1.312156529600615,flat,context,"충전 전류 컷오프: early=33.45 → late=33.6 (Δ=+0.151, -1.312A/100cyc) → flat · context"
chg_temp_avg,충전 평균 온도,C,protocol,either,30,7.0,241.0,0.0,0.0,0.0,,0.0,flat,context,"충전 평균 온도: early=0 → late=0 (Δ=+0, +0C/100cyc) → flat · context"
dchg_temp_avg,방전 평균 온도,C,protocol,either,29,7.0,240.0,0.0,0.0,0.0,,0.0,flat,context,"방전 평균 온도: early=0 → late=0 (Δ=+0, +0C/100cyc) → flat · context"
cycle_duration_h,사이클 소요시간,h,protocol,either,30,7.0,241.0,5.048013888888891,4.956666666666667,-0.09134722222222358,-1.8095675692035358,-0.1445210078477077,flat,context,"사이클 소요시간: early=5.048 → late=4.957 (Δ=-0.09135, -0.1445h/100cyc) → flat · context"
SoHQ,용량 유지율,%,capacity,decrease,29,7.0,240.0,97.5588945610204,86.37579719157182,-11.183097369448575,-11.462919316345733,-4.485961505336615,flat,stable,"용량 유지율: early=97.56 → late=86.38 (Δ=-11.18, -4.486%/100cyc) → flat · stable"
dchgCapa,방전 용량,Ah,capacity,decrease,29,7.0,240.0,67.461,59.728,-7.732999999999997,-11.462919316345737,-3.1019975213252025,flat,stable,"방전 용량: early=67.46 → late=59.73 (Δ=-7.733, -3.102Ah/100cyc) → flat · stable"
chgCapa,충전 용량,Ah,capacity,decrease,30,7.0,241.0,65.311,50.599,-14.71200000000001,-22.526067584327308,-5.415658865977401,decreasing,matches_aging,"충전 용량: early=65.31 → late=50.6 (Δ=-14.71, -5.416Ah/100cyc) → decreasing · matches_aging"
chgCCcapa,CC 충전용량,Ah,capacity,decrease,30,7.0,241.0,65.004,50.342,-14.662000000000006,-22.555535043997303,-5.82528882258098,decreasing,matches_aging,"CC 충전용량: early=65 → late=50.34 (Δ=-14.66, -5.825Ah/100cyc) → decreasing · matches_aging"
chgCVcapa,CV 충전용량,Ah,capacity,increase,30,7.0,241.0,0.0,0.0,0.0,,0.40066477752482316,increasing,matches_aging,"CV 충전용량: early=0 → late=0 (Δ=+0, +0.4007Ah/100cyc) → increasing · matches_aging"
chgCapa_CCratio,CC 용량비,1,capacity,decrease,30,7.0,241.0,100.0,100.0,0.0,0.0,-0.7078654789021931,flat,stable,"CC 용량비: early=100 → late=100 (Δ=+0, -0.70791/100cyc) → flat · stable"
chgCapa_CCratio_norm,CC비 (정규화),1,capacity,decrease,3,120.0,240.0,94.84184687747364,94.84184687747364,0.0,0.0,-4.608664461172374,flat,stable,"CC비 (정규화): early=94.84 → late=94.84 (Δ=+0, -4.6091/100cyc) → flat · stable"
delta_chgCapa_CCratio,CC비 Δ,1,capacity,decrease,30,7.0,241.0,0.0,0.0,0.0,,-0.7078654789022224,decreasing,matches_aging,"CC비 Δ: early=0 → late=0 (Δ=+0, -0.70791/100cyc) → decreasing · matches_aging"
chgCVtime,CV 시간,s,capacity,increase,30,7.0,241.0,0.0,0.0,0.0,,64.76391064270034,increasing,matches_aging,"CV 시간: early=0 → late=0 (Δ=+0, +64.76s/100cyc) → increasing · matches_aging"
tau_CV,CV 시정수,s,capacity,increase,2,220.0,240.0,969.7378165420698,969.7378165420698,0.0,0.0,,flat,stable,"CV 시정수: early=969.7 → late=969.7 (Δ=+0, n/a) → flat · stable"
Q_CV_at_Tref,CV Q @Tref,Ah,capacity,either,2,220.0,240.0,4.293376749016781,4.293376749016781,0.0,0.0,,flat,context,"CV Q @Tref: early=4.293 → late=4.293 (Δ=+0, n/a) → flat · context"
CE,쿨롱 효율,%,capacity,decrease,29,7.0,240.0,103.12136249463946,118.04185853475366,14.920496040114202,14.468870153737361,4.9600137304952,flat,stable,"쿨롱 효율: early=103.1 → late=118 (Δ=+14.92, +4.96%/100cyc) → flat · stable"
