segment,cycle_start,cycle_end,n_points,SoHQ_start,SoHQ_end,dominant_electrode,relative_dominant,PE_side_score_mean,NE_side_score_mean,contact_stack_score_mean,shared_side_score_mean,dominance_margin_mean,PE_top_modes,NE_top_modes,shared_top_modes,electrode_confidence_mean,LAM_PE_mean,contact_loss_mean,LLI_mean,si_cosign_mean,fade_exponent_b,knee_cycle_bw,crosses_knee
1,7,10,4,95.74116359119276,95.1703502569599,PE,PE,0.6035064526338108,0.08132159673144673,0.369643621506576,0.3765268959780388,0.23386283112723477,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.7897814822627862,0.7213419368450811,0.369643621506576,0.41628421879436245,0.2,1.0794245031542304,30.0,False
2,20,100,9,94.22902641793941,90.24249307783634,PE,PE,0.5784196315820466,0.09863197301284146,0.4344262454416437,0.4546506371015993,0.14399338614040286,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.6818167392181159,0.6897446939612473,0.4344262454416437,0.5179470257067202,0.2222222222222222,1.0794245031542304,30.0,True
3,120,156,9,89.08446604575269,86.89100017874867,mixed,contact_or_NE,0.6080573278195405,0.1856939535079038,0.6138643091170373,0.5198402597931137,0.005806981297496794,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.5861108047621584,0.6774097704260541,0.6138643091170373,0.5412547536957008,0.4,1.0794245031542304,30.0,False
