segment,cycle_start,cycle_end,n_points,SoHQ_start,SoHQ_end,dominant_electrode,relative_dominant,PE_side_score_mean,NE_side_score_mean,contact_stack_score_mean,shared_side_score_mean,dominance_margin_mean,PE_top_modes,NE_top_modes,shared_top_modes,electrode_confidence_mean,LAM_PE_mean,contact_loss_mean,LLI_mean,si_cosign_mean,fade_exponent_b,knee_cycle_bw,crosses_knee
1,7,100,13,96.17147129654096,91.83389982210014,PE,PE,0.5175786108283577,0.027878534171600775,0.12672060987091258,0.4024134679730722,0.39085800095744505,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.6677767522277581,0.6183099426429384,0.12672060987091258,0.4438835485097823,0.20000000000000004,1.2808250872643239,290.0,False
2,120,180,7,91.05631493395391,88.30359314508483,mixed,contact_or_NE,0.5800330234045336,0.1864123514896284,0.6162391784781105,0.48399026629760883,0.03620615507357694,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.6198053639646988,0.6495678407298542,0.6162391784781105,0.5681573180858407,0.39999999999999997,1.2808250872643239,290.0,False
3,190,280,10,87.72190477600911,82.17935440422693,PE,PE,0.6030310635668467,0.1625077563942322,0.5046194625107778,0.510578199606888,0.09841160105606883,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.6886295365082159,0.6773747514224622,0.5046194625107778,0.5695995543430616,0.42000000000000004,1.2808250872643239,290.0,False
4,290,533,28,81.25336582521739,64.30971844619071,PE,PE,0.6258404972122265,0.07470996523444293,0.2387070251028728,0.47347585048702845,0.38713347210935367,LAM_PE,contact_loss,"solid_diffusion,LLI,interface_R,SE_decomposition",0.7346756187439237,0.8106444724734445,0.2387070251028728,0.5095758203135831,0.42142857142857154,1.2808250872643239,290.0,True
