segment,cycle_start,cycle_end,n_points,SoHQ_start,SoHQ_end,dominant_electrode,relative_dominant,PE_side_score_mean,NE_side_score_mean,contact_stack_score_mean,shared_side_score_mean,dominance_margin_mean,PE_top_modes,NE_top_modes,shared_top_modes,electrode_confidence_mean,LAM_PE_mean,contact_loss_mean,LLI_mean,si_cosign_mean,fade_exponent_b,knee_cycle_bw,crosses_knee
1,7,10,4,97.76586492536251,97.35667745476839,PE,PE,0.47389554903514014,0.08696965357137171,0.3953166071425986,0.27346213312917084,0.07857894189254155,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition",0.6407643761952563,0.5318607320468536,0.3953166071425986,0.4015759129915971,0.2,1.628277874808213,260.0,False
2,20,250,23,96.3814710788577,87.68160367270707,contact_stack,contact_stack,0.6193436848969796,0.20257852323618764,0.9089537617455167,0.4813449581252218,0.2896100768485371,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition",0.8450079923759908,0.7243423045003207,0.9089537617455167,0.5198457220049123,0.20000000000000007,1.628277874808213,260.0,False
3,260,459,24,87.07566403855202,69.35228617459617,contact_stack,contact_stack,0.8242741384973584,0.21946872596940173,0.9919032998609171,0.6095600439671437,0.16762916136355865,LAM_PE,contact_loss,"interface_R,LLI,SE_decomposition",0.8019858520308086,0.968476629107589,0.9919032998609171,0.7004637734733974,0.20000000000000004,1.628277874808213,260.0,True
