metric,title_ko,unit,family,aging_hint,n,cycle_start,cycle_end,early_median,late_median,delta_late_early,pct_change,slope_per_100,trend_label,vs_expectation,note
SoHQ,용량 유지율,%,capacity,decrease,30,7.0,241.0,97.55462683113764,86.55695506934102,-10.997671761796624,-11.273347168692535,-4.171292795193025,flat,stable,"용량 유지율: early=97.55 → late=86.56 (Δ=-11, -4.171%/100cyc) → flat · stable"
CE,쿨롱 효율,%,capacity,decrease,30,7.0,241.0,102.12946801244593,116.92256602594156,14.793098013495637,14.484651982807634,6.1282836154354685,increasing,opposite_aging,"쿨롱 효율: early=102.1 → late=116.9 (Δ=+14.79, +6.128%/100cyc) → increasing · opposite_aging"
VE,전압 효율,1,capacity,decrease,30,7.0,241.0,0.907087618977414,0.8635342504886381,-0.04355336848877589,-4.801451103243462,-0.01755623566063845,flat,stable,"전압 효율: early=0.9071 → late=0.8635 (Δ=-0.04355, -0.017561/100cyc) → flat · stable"
EE,에너지 효율,1,capacity,decrease,30,7.0,241.0,0.925583350759154,1.009826516422576,0.08424316566342194,9.101629323207527,0.03493680829165207,flat,stable,"에너지 효율: early=0.9256 → late=1.01 (Δ=+0.08424, +0.034941/100cyc) → flat · stable"
Q_relax_pct,완화 용량 회복,%,capacity,increase,30,7.0,241.0,-0.4858931902647807,0.0484019296235961,0.5342951198883769,109.96143403393248,0.2863853510653336,increasing,matches_aging,"완화 용량 회복: early=-0.4859 → late=0.0484 (Δ=+0.5343, +0.2864%/100cyc) → increasing · matches_aging"
EoC_restV_init,충전후 휴지 초기 V,V,rest,either,30,7.0,241.0,4.19953,4.1996183,8.829999999981908e-05,0.0021026162451469347,4.627942638333893e-05,flat,context,"충전후 휴지 초기 V: early=4.2 → late=4.2 (Δ=+8.83e-05, +4.628e-05V/100cyc) → flat · context"
EoC_restV_60s,충전후 휴지 60s V,V,rest,either,30,7.0,241.0,4.1920433,4.181779,-0.010264300000000226,-0.24485195560838377,-0.0043008128148369455,flat,context,"충전후 휴지 60s V: early=4.192 → late=4.182 (Δ=-0.01026, -0.004301V/100cyc) → flat · context"
EoC_restV_30m,충전후 휴지 30분 V,V,rest,either,30,7.0,241.0,4.1805325,4.1489544,-0.03157809999999994,-0.7553607106271735,-0.013312832164673804,flat,context,"충전후 휴지 30분 V: early=4.181 → late=4.149 (Δ=-0.03158, -0.01331V/100cyc) → flat · context"
EoC_restV_end,충전후 휴지 종료 V,V,rest,either,30,7.0,241.0,4.1805325,4.1489544,-0.03157809999999994,-0.7553607106271735,-0.013312832164673804,flat,context,"충전후 휴지 종료 V: early=4.181 → late=4.149 (Δ=-0.03158, -0.01331V/100cyc) → flat · context"
EoC_restV_relax,충전후 휴지 완화량,V,rest,either,30,7.0,241.0,-0.0189684999999997,-0.0506410999999999,-0.031672600000000196,-166.97472124838916,-0.013359111591058377,decreasing,context,"충전후 휴지 완화량: early=-0.01897 → late=-0.05064 (Δ=-0.03167, -0.01336V/100cyc) → decreasing · context"
EoC_restV_relax_60s,충전후 60s 완화량,V,rest,either,30,7.0,241.0,-0.0074576999999997,-0.0178470000000006,-0.0103893000000009,-139.30970674606536,-0.004347092241220829,decreasing,context,"충전후 60s 완화량: early=-0.007458 → late=-0.01785 (Δ=-0.01039, -0.004347V/100cyc) → decreasing · context"
delta_EoC_restV_30m,충전후 30분 V Δvs기준,V,rest,either,30,7.0,241.0,-0.0012294999999999,-0.0328075999999999,-0.031578100000000005,-2568.369255795248,-0.01331283216467555,decreasing,context,"충전후 30분 V Δvs기준: early=-0.001229 → late=-0.03281 (Δ=-0.03158, -0.01331V/100cyc) → decreasing · context"
EoD_restV_init,방전후 휴지 초기 V,V,rest,either,30,7.0,241.0,2.499941,2.499972,3.0999999999892225e-05,0.0012400292646863355,7.738060276357206e-06,flat,context,"방전후 휴지 초기 V: early=2.5 → late=2.5 (Δ=+3.1e-05, +7.738e-06V/100cyc) → flat · context"
EoD_restV_60s,방전후 휴지 60s V,V,rest,either,30,7.0,241.0,2.8797922,2.94264,0.06284780000000012,2.1823727420332664,0.029411444094399775,flat,context,"방전후 휴지 60s V: early=2.88 → late=2.943 (Δ=+0.06285, +0.02941V/100cyc) → flat · context"
EoD_restV_30m,방전후 휴지 30분 V,V,rest,either,30,7.0,241.0,3.0165102,3.070942,0.05443180000000014,1.8044626535657047,0.022250493753811777,flat,context,"방전후 휴지 30분 V: early=3.017 → late=3.071 (Δ=+0.05443, +0.02225V/100cyc) → flat · context"
EoD_restV_end,방전후 휴지 종료 V,V,rest,either,30,7.0,241.0,3.0165102,3.070942,0.05443180000000014,1.8044626535657047,0.022250493753811777,flat,context,"방전후 휴지 종료 V: early=3.017 → late=3.071 (Δ=+0.05443, +0.02225V/100cyc) → flat · context"
EoD_restV_relax,방전후 휴지 완화량,V,rest,either,30,7.0,241.0,0.5165742,0.5709789999999999,0.05440479999999992,10.531846151046631,0.02224275569353558,flat,context,"방전후 휴지 완화량: early=0.5166 → late=0.571 (Δ=+0.0544, +0.02224V/100cyc) → flat · context"
delta_EoD_restV_30m,방전후 30분 V Δvs기준,V,rest,either,30,7.0,241.0,0.0410412,0.0954730000000001,0.0544318000000001,132.62721362923136,0.022250493753810892,increasing,context,"방전후 30분 V Δvs기준: early=0.04104 → late=0.09547 (Δ=+0.05443, +0.02225V/100cyc) → increasing · context"
R_ohmic_soc50,옴 저항 (SOC50),mΩ,resistance,increase,30,7.0,241.0,1.0703496538759116,2.6150204926971474,1.5446708388212358,144.31460160964497,0.7422443092682512,increasing,matches_aging,"옴 저항 (SOC50): early=1.07 → late=2.615 (Δ=+1.545, +0.7422mΩ/100cyc) → increasing · matches_aging"
R_ct_soc50,전하전달 저항 (SOC50),mΩ,resistance,increase,30,7.0,241.0,0.7265732163273985,0.8791094097962288,0.1525361934688303,20.99391913176394,0.06404766644939086,increasing,matches_aging,"전하전달 저항 (SOC50): early=0.7266 → late=0.8791 (Δ=+0.1525, +0.06405mΩ/100cyc) → increasing · matches_aging"
tau_ct_soc50,Rct 시정수 τ,s,resistance,either,0,,,,,,,,insufficient_data,n/a,
mech_vs_chem_ratio,기계/화학 비,1,resistance,increase,30,7.0,241.0,1.4731476881107677,2.974624618457093,1.5014769303463253,101.92304155681013,0.7621110179334011,increasing,matches_aging,"기계/화학 비: early=1.473 → late=2.975 (Δ=+1.501, +0.76211/100cyc) → increasing · matches_aging"
R_ohmic_growth_100,RΩ 성장률 /100cyc,mΩ/100cyc,resistance,either,17,120.0,241.0,1.033318783859191,0.7355575422958265,-0.2977612415633646,-28.81600975560511,-0.2983518564628932,decreasing,context,"RΩ 성장률 /100cyc: early=1.033 → late=0.7356 (Δ=-0.2978, -0.2984mΩ/100cyc/100cyc) → decreasing · context"
R_ohmic_frac_soc50,RΩ / R30s 분율,1,resistance,increase,0,,,,,,,,insufficient_data,n/a,
EoC_dchgR_10s,EoC 방전 10s DCIR,mΩ,resistance,increase,30,7.0,241.0,0.1677784812235623,0.1887903377995871,0.021011856576024807,12.523570616917688,0.021808838487896262,increasing,matches_aging,"EoC 방전 10s DCIR: early=0.1678 → late=0.1888 (Δ=+0.02101, +0.02181mΩ/100cyc) → increasing · matches_aging"
EoC_dchgR_30s,EoC 방전 30s DCIR,mΩ,resistance,increase,30,7.0,241.0,0.4669520252150087,0.5023397321164212,0.03538770690141252,7.578445962434406,0.039838949894050735,increasing,matches_aging,"EoC 방전 30s DCIR: early=0.467 → late=0.5023 (Δ=+0.03539, +0.03984mΩ/100cyc) → increasing · matches_aging"
EoC_dchgR_60s,EoC 방전 60s DCIR,mΩ,resistance,increase,30,7.0,241.0,0.8360631547390911,0.8748564787894615,0.03879332405037039,4.639999242937163,0.044448407363717586,increasing,matches_aging,"EoC 방전 60s DCIR: early=0.8361 → late=0.8749 (Δ=+0.03879, +0.04445mΩ/100cyc) → increasing · matches_aging"
EoD_chgR_10s,EoD 충전 10s DCIR,mΩ,resistance,increase,30,7.0,241.0,0.2936869548274078,0.381283798076007,0.08759684324859918,29.82660339819233,0.02944252751307327,increasing,matches_aging,"EoD 충전 10s DCIR: early=0.2937 → late=0.3813 (Δ=+0.0876, +0.02944mΩ/100cyc) → increasing · matches_aging"
