cycle,SoHQ,CE,LAM_PE_pattern_score,contact_loss_score,LLI_pattern_score,interface_R_score,solid_diffusion_score,PE_side_score,NE_side_score,contact_stack_score,shared_side_score,dominant_electrode,dominance_margin,electrode_confidence,PE_top_modes,NE_top_modes,shared_top_modes,pe_peak_hits,pe_peak_hits_delta,si_cosign,electrode_narrative,fade_exponent_b,knee_cycle_bw,eta_argmax_SOC,mech_vs_chem_ratio,PER,LAM_curve_proxy
80,92.65601010012121,116.92915913068155,0.33168217809537553,0.619596869443438,0.4972479088248736,0.0,0.0,0.2987616335715316,0.1192723973678618,0.619596869443438,0.1243119772062184,contact_stack,0.3208352358719063,0.78125,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.62) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-8.171440683291742
90,92.25385865759665,116.44524565573033,0.5593824628422044,0.5963439192993925,0.5086694404149488,0.0,0.0,0.4695368471316533,0.11479620446513304,0.5963439192993925,0.1271673601037372,contact_stack,0.12680707216773918,0.6531623762935435,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.60) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-8.74298973769756
100,91.83389982210014,117.20936311159387,0.484535860765212,0.6030088789196251,0.5196243870316944,0.0,0.0,0.413401895573909,0.11607920919202783,0.6030088789196251,0.1299060967579236,contact_stack,0.18960698334571607,0.7630622208550031,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.60) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-9.317312492393071
107,95.3206398625938,113.10547225837033,0.03330611930581155,0.32980889216796017,0.2648890528062193,0.0,0.0,0.024979589479358664,0.11831954753234149,0.32980889216796017,0.06622226320155483,contact_stack,0.26358662896640533,0.78125,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.33) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,,,,-5.8647323331944445
108,95.27118946449977,109.94643094236365,0.11336072052381221,0.3327084729513967,0.2661014407968656,0.0,0.0,0.08502054039285917,0.11908503685916873,0.3327084729513967,0.0665253601992164,contact_stack,0.24768793255853755,0.78125,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.33) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,0.0,,,-5.942920958573805
120,91.05631493395391,117.55879891181668,0.5347713359958144,0.5840231160854705,0.5362192416536642,0.0,0.0,0.4510785019968608,0.11242444984645308,0.5840231160854705,0.13405481041341605,contact_stack,0.13294461408860975,0.6639030746550669,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.58) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-10.428236987770866
130,90.61261659179873,117.02307827902752,0.5023610709629732,0.5680862978049972,0.5678434253926709,0.0,0.0,0.4267708032222299,0.10935661232746195,0.5680862978049972,0.1419608563481677,contact_stack,0.14131549458276732,0.6785521155198427,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.57) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-11.536711548327915
140,90.15556339565902,117.75540262641566,0.6245413326335354,0.5590496745467508,0.5724517717315329,0.0,0.0,0.5184059994751515,0.10761706235024952,0.5590496745467508,0.14311294293288324,mixed,0.04064367507159927,0.5023764313752987,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.52, contact=0.56, NE_hyp=0.11, Δ=0.04).",,,,,,-12.180914039380863
150,89.66586008892976,118.4840809201145,0.5591579492437417,0.5417261728344451,0.5767054537893831,0.0,0.0,0.4693684619328063,0.1042822882706307,0.5417261728344451,0.14417636344734577,contact_stack,0.07235771090163884,0.5578759940778679,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.54) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-12.875467957681664
160,89.32604142925203,118.05096077726851,0.6389389319698292,0.5948547209481884,0.5821262795578229,0.0,0.0,0.5292041989773719,0.11450953378252626,0.5948547209481884,0.14553156988945573,contact_stack,0.06565052197081644,0.5461384134489287,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.59) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-13.362863134015557
170,88.75620485414888,118.68282156852192,0.6453237811324942,0.5572034700102381,0.5848964089287385,0.0,0.0,0.5339928358493707,0.10726166797697084,0.5572034700102381,0.14622410223218463,mixed,0.023210634160867327,0.4718686097815178,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.53, contact=0.56, NE_hyp=0.11, Δ=0.02).",,,,,,-14.14122480974851
180,88.30359314508483,118.11152079489082,0.6498749176689478,0.5816262747304933,0.5568586455470722,0.0,0.0,0.5374061882517108,0.11196305788561996,0.5816262747304933,0.13921466138676805,mixed,0.044220086478782505,0.5086351513378693,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.54, contact=0.58, NE_hyp=0.11, Δ=0.04).",,,,,,-14.29346329492689
190,87.72190477600911,118.73328334542519,0.6541507904241017,0.5654061458563316,0.5408643918053523,0.0,0.0,0.5406130928180763,0.10884068307734385,0.5654061458563316,0.13521609795133807,mixed,0.024793053038255297,0.47463784281694676,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.54, contact=0.57, NE_hyp=0.11, Δ=0.02).",,,,,,-14.742661666277336
200,87.27078645653408,119.53637743706251,0.6573759377145608,0.5707406402971563,0.5530181495865951,0.0,0.0,0.5430319532859207,0.1098675732572026,0.5707406402971563,0.13825453739664878,mixed,0.027708687011235633,0.4797402022696623,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.54, contact=0.57, NE_hyp=0.11, Δ=0.03).",,,,,,-15.669369853320415
210,86.71725145141305,118.81379387101848,0.6603196435998423,0.5689024583959021,0.5579550432824107,0.0,0.0,0.5452397326998818,0.10951372324121116,0.5689024583959021,0.1394887608206027,mixed,0.023662725696020348,0.4726597699680356,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.57, NE_hyp=0.11, Δ=0.02).",,,,,,-16.49915750114397
212,92.05796352001514,117.50515644108297,0.4598906478352015,0.3199102711325063,0.4617799604254963,0.044259912320637626,0.0,0.3949179858764011,0.11570631157898166,0.3199102711325063,0.12650996818653348,PE,0.07500771474389478,0.6062635008018158,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.2,"PE-side hypothesis leads (PE=0.39, contact=0.32, NE_hyp=0.12). Top: LAM_PE.",,,,,,-10.222196766686098
213,92.04510185759706,108.80213961203691,0.6251302163208944,0.3254918086287639,0.45762375517664045,0.04705685410405893,0.0,0.5188476622406708,0.1717025017949503,0.3254918086287639,0.12617015232017484,PE,0.19335585361190688,0.8571227438208371,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.4,"PE-side hypothesis leads (PE=0.52, contact=0.33, NE_hyp=0.17). Top: LAM_PE.",,,0.0,,,-10.116825124522876
220,86.23943309439191,119.59504162789526,0.6623505587743899,0.5723120862016049,0.5432110927132472,0.0,0.0,0.5467629190807924,0.11017007659380894,0.5723120862016049,0.1358027731783118,mixed,0.025549167120812455,0.4759610424614218,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.57, NE_hyp=0.11, Δ=0.03).",,,,,,-16.74881915148223
230,85.65773229191537,120.26076471390532,0.6643557889080353,0.574769887640326,0.545606195386132,0.0,0.0,0.5482668416810265,0.11064320337076275,0.574769887640326,0.136401548846533,mixed,0.02650304595929953,0.4776303304287741,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.57, NE_hyp=0.11, Δ=0.03).",,,,,,-17.675201654995675
240,85.01815124557947,109.39218864082672,0.6662845320733388,0.597264953778981,0.5504610993674167,0.2580582046169441,0.0,0.5497133990550042,0.188927947797651,0.597264953778981,0.2021298259960902,mixed,0.047551554723976874,0.5582152207669595,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.2,"Mixed signals (PE=0.55, contact=0.60, NE_hyp=0.19, Δ=0.05).",,,,,,-17.507618785824853
250,84.41714827905294,120.04208374142382,0.6678618852420097,0.595765212913684,0.5734404113995034,0.0,0.0,0.5508964139315073,0.11468480348588418,0.595765212913684,0.14336010284987585,mixed,0.04486879898217666,0.5097703982188091,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.60, NE_hyp=0.11, Δ=0.04).",,,,,,-18.0228968994655
260,83.75234124391423,120.61078929059046,0.6693066760948765,0.5931219279146186,0.5497791521410504,0.0,0.0,0.5519800070711574,0.11417597112356409,0.5931219279146186,0.1374447880352626,mixed,0.041141920843461244,0.5032483614760571,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.59, NE_hyp=0.11, Δ=0.04).",,,,,,-19.293232371213275
270,82.98515896779895,121.04980864777602,0.6706381883449773,0.5733085707209554,0.639754502734637,0.0,0.0,0.5529786412587331,0.11036189986378392,0.5733085707209554,0.15993862568365924,mixed,0.02032992946222234,0.46682737655888906,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.57, NE_hyp=0.11, Δ=0.02).",,,,,,-18.745897432807347
280,82.17935440422693,121.45151801450716,0.6717803510003673,0.550257326588122,0.6419055050142715,0.0,0.0,0.5538352632502754,0.10592453536821349,0.550257326588122,0.16047637625356787,mixed,0.003577936662153447,0.4375113891587685,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.55, NE_hyp=0.11, Δ=0.00).",,,,,,-19.73294690889722
290,81.25336582521739,121.68408847418168,0.6728407273750558,0.5298210504027221,0.6790031983032544,0.0,0.0,0.5546305455312919,0.101990552202524,0.5298210504027221,0.1697507995758136,mixed,0.02480949512856978,0.4746666164749971,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.55, contact=0.53, NE_hyp=0.10, Δ=0.02).",,,,,,-19.758807381870124
300,80.23982814498109,121.79537995595983,0.6737470641019746,0.514783342098678,0.6928371649183678,0.0,0.0,0.555310298076481,0.09909579335399551,0.514783342098678,0.17320929122959194,mixed,0.04052695597780298,0.5021721729611552,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.56, contact=0.51, NE_hyp=0.10, Δ=0.04).",,,,,,
310,79.12984319298796,107.57112151331758,0.6744916661572463,0.46238591869719486,0.7064533858353653,0.2586248201000755,0.0,0.5558687496179348,0.15331988253605944,0.46238591869719486,0.2412695514838602,PE,0.09348283092073989,0.6385949541112947,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.2,"PE-side hypothesis leads (PE=0.56, contact=0.46, NE_hyp=0.15). Top: LAM_PE.",,,,,,
317,85.15759874337552,122.62792679632255,0.5983757856116335,0.5505199847824522,0.50215669388561,0.04673598745840275,0.0,0.49878183920872515,0.1765872759825674,0.5505199847824522,0.1372231703360032,mixed,0.05173814557372708,0.5655417547540224,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.2,"Mixed signals (PE=0.50, contact=0.55, NE_hyp=0.18, Δ=0.05).",,,,,,-17.933543733197578
318,85.71261056021781,114.60993992567785,0.5849735846026,0.5580091173329821,0.4592929655541241,0.047931223629736175,0.0,0.43873018845195,0.17856440697590728,0.5580091173329821,0.12680604729596506,contact_stack,0.11927892888103209,0.6399881255418061,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.56) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,0.0,,,-17.497536062509255
330,77.8120988760399,123.09430671408599,0.6750805353846622,0.4826122571151332,0.711312753256222,0.0,0.0,0.5563104015384966,0.09290285949466315,0.4826122571151332,0.1778281883140555,PE,0.07369814442336342,0.5602217527408859,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.56, contact=0.48, NE_hyp=0.09). Top: LAM_PE.",,,,,,
340,76.45429414160533,122.70140574184654,0.5810026876062051,0.4417787977409619,0.6991644967559956,0.0,0.0,0.4857520157046538,0.08504241856513517,0.4417787977409619,0.1747911241889989,mixed,0.04397321796369191,0.5082031314364608,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.49, contact=0.44, NE_hyp=0.09, Δ=0.04).",,,,,,
350,75.28494108211976,113.61240090930774,0.5814558192633,0.45397398021410973,0.6770763175081247,0.0,0.0,0.48609186444747504,0.15109913077652498,0.45397398021410973,0.16926907937703117,mixed,0.03211788423336531,0.5312062974083893,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.2,"Mixed signals (PE=0.49, contact=0.45, NE_hyp=0.15, Δ=0.03).",,,,,,
360,74.12894840257461,124.26813119708144,0.672287467096369,0.4469001150502944,0.6465425036696039,0.0,0.0,0.5542156003222768,0.08602827214718169,0.4469001150502944,0.16163562591740097,PE,0.10731548527198237,0.6190520992259692,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.55, contact=0.45, NE_hyp=0.09). Top: LAM_PE.",,,,,,
370,73.19851557351149,124.57062995526668,0.6764023150983977,0.4206463156262303,0.6032864382669181,0.0,0.0,0.5073017363237983,0.08097441575804934,0.4206463156262303,0.15082160956672952,PE,0.08665542069756799,0.539146986220744,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.42, NE_hyp=0.08). Top: LAM_PE.",,,,,,
380,72.26066000415055,124.86961008153423,0.6731023008263347,0.4276677129944398,0.41492648302235835,0.0,0.0,0.5048267256197511,0.08232603475142966,0.4276677129944398,0.10373162075558959,PE,0.07715901262531127,0.5225282720942948,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.50, contact=0.43, NE_hyp=0.08). Top: LAM_PE.",,,,,,
390,71.41630499054882,125.33678134639803,0.6727870995475833,0.39869444213688376,0.5058672520011593,0.0,0.0,0.5045903246606875,0.07674868011135012,0.39869444213688376,0.12646681300028983,PE,0.10589588252380377,0.5728177944166566,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.50, contact=0.40, NE_hyp=0.08). Top: LAM_PE.",,,,,,
400,70.44285812055662,125.60884056293062,0.6767258978481951,0.45364144742202983,0.47146373317721985,0.0,0.0,0.5075444233861464,0.08732597862874074,0.45364144742202983,0.11786593329430496,mixed,0.05390297596411653,0.4818302079372039,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.51, contact=0.45, NE_hyp=0.09, Δ=0.05).",,,,,,
410,69.65042498883687,126.19729921302849,0.5825253608273895,0.4378484247021946,0.46520232035118453,0.0,0.0,0.4368940206205421,0.08428582175517246,0.4378484247021946,0.11630058008779613,mixed,0.0009544040816524824,0.38917020714289186,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.44, contact=0.44, NE_hyp=0.08, Δ=0.00).",,,,,,
420,68.976728072102,127.00835784802902,0.6747587609155599,0.4423224374311788,0.4689053448827889,0.0,0.0,0.50606907068667,0.08514706920550193,0.4423224374311788,0.11722633622069722,PE,0.06374663325549113,0.49905660819710945,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.44, NE_hyp=0.09). Top: LAM_PE.",,,,,,
422,74.45541773422379,124.2301947529797,0.6595053710819507,0.5774061282121836,0.45199884461320416,0.06997664897755182,0.0,0.49462902831146305,0.1836852178480165,0.5774061282121836,0.130493873397689,contact_stack,0.08277709990072057,0.5761099248262609,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.58) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,,,,
423,74.93917925684347,117.99558725081272,0.6438721918779543,0.5633952114957056,0.4718794854710528,0.06560578455540932,0.0,0.4829041439084657,0.17998633583486628,0.5633952114957056,0.13437131750661552,contact_stack,0.0804910675872399,0.5721093682776698,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.56) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,0.0,,,
430,69.18892892413257,127.39440198772729,0.6741172608370338,0.4395781744849888,0.4710612800032671,0.0,0.0,0.5055879456277754,0.08461879858836034,0.4395781744849888,0.11776532000081677,PE,0.06600977114278661,0.5030170994998766,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.44, NE_hyp=0.08). Top: LAM_PE.",,,,,,
440,68.26738321368764,127.79351612341961,0.6741928439564246,0.44375405749542585,0.46982096362650955,0.0,0.0,0.5056446329673185,0.08542265606786947,0.44375405749542585,0.11745524090662739,PE,0.061890575471892695,0.4958085070758122,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.44, NE_hyp=0.09). Top: LAM_PE.",,,,,,
450,67.59665097230715,126.59283343867152,0.6769384926816352,0.4337616223356809,0.46263795847005545,0.0,0.0,0.5077038695112264,0.08349911229961857,0.4337616223356809,0.11565948961751386,PE,0.07394224717554548,0.5168989325572045,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.43, NE_hyp=0.08). Top: LAM_PE.",,,,,,
460,67.0149418808967,127.59707938666341,0.6769738381302552,0.4199572454238097,0.42315039310032254,0.0,0.0,0.5077303785976914,0.08084176974408336,0.4199572454238097,0.10578759827508064,PE,0.08777313317388175,0.541102983054293,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.42, NE_hyp=0.08). Top: LAM_PE.",,,,,,
470,66.47033405757433,128.7209777498479,0.6758335468405172,0.4326474651379176,0.46460364915269614,0.0,0.0,0.5068751601303879,0.08328463703904913,0.4326474651379176,0.11615091228817404,PE,0.07422769499247034,0.5173984662368231,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.43, NE_hyp=0.08). Top: LAM_PE.",,,,,,
480,65.97321353650321,111.52251800824374,0.6770296388593087,0.42840675931553596,0.42274603945724276,0.25897211456214186,0.0,0.5077722291444815,0.1443493844593015,0.42840675931553596,0.17042953850484616,PE,0.07936546982894555,0.5701395722006546,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.2,"PE-side hypothesis leads (PE=0.51, contact=0.43, NE_hyp=0.14). Top: LAM_PE.",,,,,,
490,65.48945753983945,129.05003021740197,0.6770521097753701,0.42348387647102037,0.4575244768062768,0.0,0.0,0.5077890823315276,0.08152064622067143,0.42348387647102037,0.1143811192015692,PE,0.08430520586050727,0.5350341102558878,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.42, NE_hyp=0.08). Top: LAM_PE.",,,,,,
500,65.02052491994755,128.17141990681242,0.6770716610838964,0.446692427014561,0.4605428678426567,0.0,0.0,0.5078037458129223,0.085988292200303,0.446692427014561,0.11513571696066417,PE,0.06111131879836129,0.49444480789713224,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"PE-side hypothesis leads (PE=0.51, contact=0.45, NE_hyp=0.09). Top: LAM_PE.",,,,,,
510,64.56940660047253,129.51194228863662,0.6770891681832844,0.46505390732118124,0.4566235585372542,0.0,0.0,0.5078168761374633,0.08952287715932739,0.46505390732118124,0.11415588963431356,mixed,0.042762968816282054,0.46233519542849355,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.51, contact=0.47, NE_hyp=0.09, Δ=0.04).",,,,,,
520,64.14647618217673,128.70668404825415,0.6771048704049313,0.48389317613075994,0.4499837885883961,0.0,0.0,0.5078286528036985,0.09314943640517129,0.48389317613075994,0.11249594714709903,mixed,0.02393547667293855,0.42938708417764243,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,"Mixed signals (PE=0.51, contact=0.48, NE_hyp=0.09, Δ=0.02).",,,,,,
