cycle,SoHQ,CE,LAM_PE_pattern_score,contact_loss_score,LLI_pattern_score,interface_R_score,solid_diffusion_score,PE_side_score,NE_side_score,contact_stack_score,shared_side_score,dominant_electrode,dominance_margin,electrode_confidence,PE_top_modes,NE_top_modes,shared_top_modes,pe_peak_hits,pe_peak_hits_delta,si_cosign,electrode_narrative,fade_exponent_b,knee_cycle_bw,eta_argmax_SOC,mech_vs_chem_ratio,PER,LAM_curve_proxy
1,,,,,,,,0.0,0.0,0.0,0.0,unknown,0.0,0.3,,,,0.0,0.0,0.0,Insufficient electrode-side evidence for this cycle.,,,,,,
2,100.55994373250638,107.23330330527196,0.20833254745087723,0.3399017505441728,0.0016946374312625944,0.0,0.0,0.15624941058815792,0.12098406214366163,0.3399017505441728,0.0004236593578156486,contact_stack,0.1836523399560149,0.7526415949230261,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",2.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.34) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,,,,0.5709973291006087
3,100.0,106.63277606674886,0.0,0.3416945562544341,0.0,0.0,0.0,0.0,0.1214573628511706,0.3416945562544341,0.0,contact_stack,0.3416945562544341,0.78125,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.2,Contact/stack ohmic pattern leads (contact=0.34) without strong Si co-sign (si_cosign=0.20) — not electrode-resolved.,,,0.0,,,0.0
10,95.68029670404636,113.15322820664942,0.35959710688564833,0.41196618921831435,0.3999112858345107,0.0,0.0,0.26969783016423626,0.07930349142452552,0.41196618921831435,0.09997782145862767,contact_stack,0.1422683590540781,0.6364696283446366,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.41) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-3.814942314034142
20,94.90419000911037,114.62411675546664,0.26078612453548755,0.4075542977237683,0.41210894193228603,0.0,0.0,0.19558959340161566,0.07845420231182539,0.4075542977237683,0.10302723548307151,contact_stack,0.21196470432215261,0.7375,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.41) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-4.7609487506712345
30,94.48867956813439,115.35536370212469,0.27873560474809306,0.40671207705738593,0.42128637858252127,0.0,0.0,0.25905170356106977,0.07829207483354679,0.40671207705738593,0.10532159464563032,contact_stack,0.14766037349631617,0.6896556536185532,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.41) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-5.321040303416802
40,94.09988712406127,114.9114682656971,0.3701244106602579,0.4045235070782305,0.43235121405969745,0.0,0.0,0.32759330799519343,0.07787077511255937,0.4045235070782305,0.10808780351492436,contact_stack,0.07693019908303705,0.5658778483953149,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.40) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-5.841801710078043
50,93.77936786545557,115.75472088864555,0.2630639412226756,0.40295739895058696,0.4475143703362042,0.0,0.0,0.2472979559170067,0.07756929929798799,0.40295739895058696,0.11187859258405106,contact_stack,0.15565944303358026,0.7036540253087654,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.40) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-6.385668355236085
60,93.39351799291313,115.30999973903089,0.38336746682747214,0.4012045264979336,0.47071247613046685,0.0,0.0,0.3375256001206041,0.07723187135085222,0.4012045264979336,0.11767811903261671,contact_stack,0.06367892637732947,0.5426881211603265,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",0.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.40) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-7.104929048867015
70,93.05666953454569,116.68523372405859,0.298827273037786,0.6366975358247176,0.4850580319263598,0.0,0.0,0.2741204547783395,0.12256427564625813,0.6366975358247176,0.12126450798158996,contact_stack,0.36257708104637804,0.78125,LAM_PE,contact_loss,"LLI,interface_R,SE_decomposition,solid_diffusion",1.0,0.0,0.0,Contact/stack ohmic pattern leads (contact=0.64) without strong Si co-sign (si_cosign=0.00) — not electrode-resolved.,,,,,,-7.635872441737046
