cycle,SoHQ_rpt_c3,C_rate_med_est,I_abs_med_cc,cycle_routine_prev,SoHQ_routine_prev,SoHQ_gap_vs_prev_routine,cycle_routine_next,SoHQ_routine_next,note
2,100.56235316864861,0.3580577638888889,25.780159,,,,7,96.28910897452056,C/3 RPT capacity (not fade spike)
3,100.0,0.35805919444444445,25.780262,,,,7,96.28910897452056,C/3 RPT capacity (not fade spike)
107,95.49508602333124,0.3580611805555556,25.780405000000002,100.0,92.24537944365235,3.249706579678886,120,91.60118437377855,C/3 RPT capacity (not fade spike)
108,95.43357094123589,0.35806027777777777,25.78034,100.0,92.24537944365235,3.1881914975835315,120,91.60118437377855,C/3 RPT capacity (not fade spike)
212,92.71198492856942,0.35805919444444445,25.780262,210.0,87.96063943330888,4.751345495260537,220,87.54407260480514,C/3 RPT capacity (not fade spike)
213,92.6921511830026,0.3580588472222222,25.780237,210.0,87.96063943330888,4.731511749693709,220,87.54407260480514,C/3 RPT capacity (not fade spike)
317,88.82398908146766,0.35805902083333335,25.7802495,310.0,82.95433196980949,5.869657111658171,330,81.95009209118315,C/3 RPT capacity (not fade spike)
318,89.00847615615362,0.358060625,25.780365,310.0,82.95433196980949,6.054144186344132,330,81.95009209118315,C/3 RPT capacity (not fade spike)
422,79.50172700400469,0.35806027777777777,25.78034,420.0,73.19019980282597,6.31152720117872,430,73.7481222345983,C/3 RPT capacity (not fade spike)
423,80.26542593107109,0.35805902083333335,25.7802495,420.0,73.19019980282597,7.07522612824512,430,73.7481222345983,C/3 RPT capacity (not fade spike)
527,72.1938643366263,0.35806027777777777,25.78034,520.0,67.06361396882944,5.130250367796862,540,66.68722017036522,C/3 RPT capacity (not fade spike)
528,72.69968994537132,0.3580577361111111,25.780157,520.0,67.06361396882944,5.636075976541875,540,66.68722017036522,C/3 RPT capacity (not fade spike)
