metric,title_ko,unit,family,aging_hint,n,cycle_start,cycle_end,early_median,late_median,delta_late_early,pct_change,slope_per_100,trend_label,vs_expectation,note
chg_V_cutoff,충전 전압 컷오프,V,protocol,either,30,7.0,240.0,4.199744,4.199796,5.200000000016303e-05,0.0012381707075517705,4.23753353697503e-05,flat,context,"충전 전압 컷오프: early=4.2 → late=4.2 (Δ=+5.2e-05, +4.238e-05V/100cyc) → flat · context"
dchg_V_cutoff,방전 전압 컷오프,V,protocol,either,30,7.0,240.0,2.4999762,2.4999752,-9.999999996956888e-07,-4.000038079145269e-05,2.1330629649014153e-06,flat,context,"방전 전압 컷오프: early=2.5 → late=2.5 (Δ=-1e-06, +2.133e-06V/100cyc) → flat · context"
chg_I_cutoff,충전 전류 컷오프,A,protocol,either,30,7.0,240.0,34.161,34.697,0.5360000000000014,1.5690407189485125,0.8548025439621598,flat,context,"충전 전류 컷오프: early=34.16 → late=34.7 (Δ=+0.536, +0.8548A/100cyc) → flat · context"
chg_temp_avg,충전 평균 온도,C,protocol,either,30,7.0,240.0,0.0,0.0,0.0,,0.0,flat,context,"충전 평균 온도: early=0 → late=0 (Δ=+0, +0C/100cyc) → flat · context"
dchg_temp_avg,방전 평균 온도,C,protocol,either,30,7.0,240.0,0.0,0.0,0.0,,0.0,flat,context,"방전 평균 온도: early=0 → late=0 (Δ=+0, +0C/100cyc) → flat · context"
cycle_duration_h,사이클 소요시간,h,protocol,either,30,7.0,240.0,5.110347222222222,4.903611111111111,-0.2067361111111108,-4.045441574148304,-0.07214104924849457,flat,context,"사이클 소요시간: early=5.11 → late=4.904 (Δ=-0.2067, -0.07214h/100cyc) → flat · context"
SoHQ,용량 유지율,%,capacity,decrease,30,7.0,240.0,96.87211497388836,87.26248053683878,-9.609634437049579,-9.919918068930189,-3.549619716865647,flat,stable,"용량 유지율: early=96.87 → late=87.26 (Δ=-9.61, -3.55%/100cyc) → flat · stable"
dchgCapa,방전 용량,Ah,capacity,decrease,30,7.0,240.0,70.303,63.329,-6.973999999999997,-9.919918068930198,-2.5760655171208926,flat,stable,"방전 용량: early=70.3 → late=63.33 (Δ=-6.974, -2.576Ah/100cyc) → flat · stable"
chgCapa,충전 용량,Ah,capacity,decrease,30,7.0,240.0,64.415,53.464,-10.951000000000008,-17.000698595047748,-4.45745366937035,decreasing,matches_aging,"충전 용량: early=64.42 → late=53.46 (Δ=-10.95, -4.457Ah/100cyc) → decreasing · matches_aging"
chgCCcapa,CC 충전용량,Ah,capacity,decrease,30,7.0,240.0,64.10100000000001,53.2,-10.90100000000001,-17.00597494578869,-4.239225046689798,decreasing,matches_aging,"CC 충전용량: early=64.1 → late=53.2 (Δ=-10.9, -4.239Ah/100cyc) → decreasing · matches_aging"
chgCVcapa,CV 충전용량,Ah,capacity,increase,30,7.0,240.0,0.0,0.0,0.0,,-0.19159389790759931,decreasing,opposite_aging,"CV 충전용량: early=0 → late=0 (Δ=+0, -0.1916Ah/100cyc) → decreasing · opposite_aging"
chgCapa_CCratio,CC 용량비,1,capacity,decrease,30,7.0,240.0,100.0,100.0,0.0,0.0,0.2593248860989268,flat,stable,"CC 용량비: early=100 → late=100 (Δ=+0, +0.25931/100cyc) → flat · stable"
chgCapa_CCratio_norm,CC비 (정규화),1,capacity,decrease,6,40.0,236.0,94.24286538187091,97.5200210921794,3.2771557103084916,3.477351518366401,0.7082962803678458,flat,stable,"CC비 (정규화): early=94.24 → late=97.52 (Δ=+3.277, +0.70831/100cyc) → flat · stable"
delta_chgCapa_CCratio,CC비 Δ,1,capacity,decrease,30,7.0,240.0,0.0,0.0,0.0,,0.2593248860989555,increasing,opposite_aging,"CC비 Δ: early=0 → late=0 (Δ=+0, +0.25931/100cyc) → increasing · opposite_aging"
chgCVtime,CV 시간,s,capacity,increase,30,7.0,240.0,0.0,0.0,0.0,,-31.81117526237526,decreasing,opposite_aging,"CV 시간: early=0 → late=0 (Δ=+0, -31.81s/100cyc) → decreasing · opposite_aging"
tau_CV,CV 시정수,s,capacity,increase,3,40.0,230.0,1047.6637483031152,1047.6637483031152,0.0,0.0,-251.02065448220426,decreasing,opposite_aging,"CV 시정수: early=1048 → late=1048 (Δ=+0, -251s/100cyc) → decreasing · opposite_aging"
Q_CV_at_Tref,CV Q @Tref,Ah,capacity,either,3,40.0,230.0,4.066516695204923,4.066516695204923,0.0,0.0,-0.7335471439868507,decreasing,context,"CV Q @Tref: early=4.067 → late=4.067 (Δ=+0, -0.7335Ah/100cyc) → decreasing · context"
CE,쿨롱 효율,%,capacity,decrease,30,7.0,240.0,108.90669399543486,118.38196782641226,9.4752738309774,8.700359439222886,4.138730392834679,flat,stable,"쿨롱 효율: early=108.9 → late=118.4 (Δ=+9.475, +4.139%/100cyc) → flat · stable"
CE_rev,가역 CE,%,capacity,decrease,29,7.0,239.0,91.4115827266664,84.4226183896793,-6.988964336987095,-7.645600402615378,-2.6918668644148624,flat,stable,"가역 CE: early=91.41 → late=84.42 (Δ=-6.989, -2.692%/100cyc) → flat · stable"
CE_local_20,국소 CE(20),%,capacity,decrease,27,10.0,240.0,544.6798517942968,268.96363344655754,-275.7162183477393,-50.61986732930705,-89.98963586939595,decreasing,matches_aging,"국소 CE(20): early=544.7 → late=269 (Δ=-275.7, -89.99%/100cyc) → decreasing · matches_aging"
CI,쿨롱 비효율,%,capacity,increase,30,7.0,240.0,-8.906693995434864,-18.381967826412264,-9.4752738309774,-106.38373605104164,-4.138730392834695,decreasing,opposite_aging,"쿨롱 비효율: early=-8.907 → late=-18.38 (Δ=-9.475, -4.139%/100cyc) → decreasing · opposite_aging"
CI_per_hour,CI /시간,%/h,capacity,increase,30,7.0,240.0,-1.7447000970489448,-3.749084141129917,-2.004384044080972,-114.88415960263126,-0.8654324554277247,decreasing,opposite_aging,"CI /시간: early=-1.745 → late=-3.749 (Δ=-2.004, -0.8654%/h/100cyc) → decreasing · opposite_aging"
VE,전압 효율,1,capacity,decrease,30,7.0,240.0,0.8960597643196737,0.8589804018836328,-0.03707936243604093,-4.138045687632581,-0.01446917679361756,flat,stable,"전압 효율: early=0.8961 → late=0.859 (Δ=-0.03708, -0.014471/100cyc) → flat · stable"
EE,에너지 효율,1,capacity,decrease,30,7.0,240.0,0.972074380768994,1.016746317988703,0.04467193721970908,4.595526649346499,0.019868118310239,flat,stable,"에너지 효율: early=0.9721 → late=1.017 (Δ=+0.04467, +0.019871/100cyc) → flat · stable"
chg_E,충전 에너지,Wh,capacity,decrease,30,7.0,240.0,243.4280179149,204.3378513999,-39.09016651500002,-16.058203509123402,-15.989527860758454,decreasing,matches_aging,"충전 에너지: early=243.4 → late=204.3 (Δ=-39.09, -15.99Wh/100cyc) → decreasing · matches_aging"
dchg_E,방전 에너지,Wh,capacity,decrease,30,7.0,240.0,237.9140374176,207.91730342575,-29.99673399185002,-12.60822367500665,-11.280500767131356,flat,stable,"방전 에너지: early=237.9 → late=207.9 (Δ=-30, -11.28Wh/100cyc) → flat · stable"
dE,에너지 손실,Wh,capacity,increase,30,7.0,240.0,6.797878138450017,-3.4226363012500087,-10.220514439700025,-150.3485974820726,-4.709027093627149,decreasing,opposite_aging,"에너지 손실: early=6.798 → late=-3.423 (Δ=-10.22, -4.709Wh/100cyc) → decreasing · opposite_aging"
Q_relax,완화 용량,Ah,capacity,either,30,7.0,240.0,-0.3659999999999996,-0.0549999999999926,0.311000000000007,84.97267759563042,0.18067800163851153,increasing,context,"완화 용량: early=-0.366 → late=-0.055 (Δ=+0.311, +0.1807Ah/100cyc) → increasing · context"
Q_relax_pct,완화 용량 %,%,capacity,increase,30,7.0,240.0,-0.5043197883510393,-0.082673200354732,0.4216465879963073,83.60698860834981,0.24697826905354822,increasing,matches_aging,"완화 용량 %: early=-0.5043 → late=-0.08267 (Δ=+0.4216, +0.247%/100cyc) → increasing · matches_aging"
dSoHQ_dN,dSoHQ/dN,%/cyc,capacity,decrease,17,120.0,240.0,-0.1685617874563932,-0.0215822267616001,0.1469795606947931,87.19625183899797,0.16606348474537863,increasing,opposite_aging,"dSoHQ/dN: early=-0.1686 → late=-0.02158 (Δ=+0.147, +0.1661%/cyc/100cyc) → increasing · opposite_aging"
d2SoHQ,d2SoHQ,%/cyc2,capacity,either,17,120.0,240.0,-0.0009764060869141,-0.0647830997846037,-0.0638066936976896,-6534.852102299833,-0.04209813062916758,decreasing,context,"d2SoHQ: early=-0.0009764 → late=-0.06478 (Δ=-0.06381, -0.0421%/cyc2/100cyc) → decreasing · context"
EoC_restV_init,충전후 휴지 초기 V,V,rest,either,30,7.0,240.0,4.1997004,4.1997824,8.199999999991547e-05,0.0019525202321555002,2.2328150539292553e-05,flat,context,"충전후 휴지 초기 V: early=4.2 → late=4.2 (Δ=+8.2e-05, +2.233e-05V/100cyc) → flat · context"
EoC_restV_60s,충전후 휴지 60s V,V,rest,either,30,7.0,240.0,4.1880574,4.183031,-0.0050264000000002085,-0.12001745725835106,-0.002007856473088393,flat,context,"충전후 휴지 60s V: early=4.188 → late=4.183 (Δ=-0.005026, -0.002008V/100cyc) → flat · context"
EoC_restV_30m,충전후 휴지 30분 V,V,rest,either,30,7.0,240.0,4.17478,4.163652,-0.011128000000000249,-0.26655296806059836,-0.004441174883811362,flat,context,"충전후 휴지 30분 V: early=4.175 → late=4.164 (Δ=-0.01113, -0.004441V/100cyc) → flat · context"
EoC_restV_end,충전후 휴지 종료 V,V,rest,either,30,7.0,240.0,4.17478,4.163652,-0.011128000000000249,-0.26655296806059836,-0.004441174883811362,flat,context,"충전후 휴지 종료 V: early=4.175 → late=4.164 (Δ=-0.01113, -0.004441V/100cyc) → flat · context"
