cycle,cycle_role,SoHQ,CE,VE,EE,Q_relax_pct,EoC_restV_init,EoC_restV_60s,EoC_restV_30m,EoC_restV_end,EoC_restV_relax,EoC_restV_relax_60s,delta_EoC_restV_30m,EoD_restV_init,EoD_restV_60s,EoD_restV_30m,EoD_restV_end,EoD_restV_relax,delta_EoD_restV_30m,R_ohmic_soc50,R_ct_soc50,tau_ct_soc50,mech_vs_chem_ratio,R_ohmic_growth_100,R_ohmic_frac_soc50,EoC_dchgR_10s,EoC_dchgR_30s,EoC_dchgR_60s,EoD_chgR_10s,hyst_area_low,hyst_area_high,dchg_plateau_width,delta_dchg_plateau_V,chg_dQdV_peak1_V,LAM_curve_proxy,LLI_curve_proxy,RCF,PER,eta_max,eta_argmax_SOC,LAM_PE_pattern_score,contact_loss_score,LLI_pattern_score,interface_R_score,solid_diffusion_score,PE_side_score,contact_stack_score,NE_side_score,si_cosign
7,routine_05c,97.48607242339834,104.7500037413388,0.8986283529341128,0.9413132333192143,-0.513927576601671,4.199582,4.1884003,4.173603,4.173603,-0.0259790000000004,-0.0111817000000007,-0.0005335999999998,2.499968,2.908222,3.034276,3.034276,0.5343080000000002,0.0408600000000003,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1566515153294737,0.4244283077935685,0.7443273315209322,0.2989278130096738,0.0800286391409856,0.2161858711526733,16.363352705410826,-0.0320926144471935,3.71495139633681,-2.762189186996955,-0.7397424911422115,0.9748607242339834,,,,0.5654472895015101,0.7611415645028938,0.3590717378415189,0.4132569950977668,0.4643049975469499,0.5240854671261326,0.7611415645028938,0.1674511441906366,0.2
8,routine_05c,97.32033426183844,107.486655693827,0.896972427887427,0.9641256652319194,-0.513927576601671,4.199646,4.188477,4.1737614,4.1737614,-0.0258846000000003,-0.0111690000000006,-0.0003751999999996,2.4999971,2.907952,3.035077,3.035077,0.5350798999999999,0.0416609999999999,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.161395509432261,0.4343309760417295,0.7569581526773611,0.2589061736776279,0.0773611463476202,0.216774565929222,16.615404809619235,-0.0337600154535002,3.726626554933583,-2.8631920489273543,-0.6932303899265295,0.9732033426183844,,,,0.5711850575643381,0.8178565232996016,0.3663329664328753,0.4530270373579946,0.4899033430720333,0.5283887931732536,0.8178565232996016,0.1799284351259124,0.2
9,routine_05c,97.07799442896936,108.2093954730338,0.89629814671868,0.9698788062002892,-0.513927576601671,4.1997023,4.188267,4.1735535,4.1735535,-0.0261488000000005,-0.0114353000000004,-0.0005831,2.4999223,2.907052,3.0349123,3.0349123,0.5349899999999996,0.0414962999999999,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1635278406148642,0.4417855812848315,0.7740306603577968,0.2717303367370122,0.076597476795642,0.2166885339546806,16.85294789579158,-0.0336792302495196,3.4999947860245237,-3.109821278974501,-0.7067859702385979,0.9707799442896936,,,,0.5547866601961865,0.8391680746513339,0.3740261828730823,0.4877762070617174,0.5258568892947525,0.4960899951471398,0.8391680746513339,0.1846169764232934,0.2
10,routine_05c,96.78133704735376,107.90217391304348,0.8951086892149754,0.9658417345475068,-0.513927576601671,4.199665,4.188069,4.173353,4.173353,-0.0263120000000007,-0.0115960000000008,-0.0007836000000001,2.499942,2.9066982,3.0350962,3.0350962,0.5351542,0.0416802,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.169364262820285,0.4519474560826195,0.786105556756282,0.2829063534644329,0.0759790495399968,0.2175374597499002,16.942108216432864,-0.0323035727024278,3.7319243037191416,-3.367568592026116,-0.6844379947479751,0.9678133704735375,,,,0.5661891154105528,0.8863421369017743,0.37808845427827,0.5169160326567741,0.5674356715125306,0.4746418365579146,0.8863421369017743,0.1949952701183903,0.2
20,routine_05c,95.05710306406688,110.11245018795476,0.8884547392257471,0.9782992821724744,-0.513927576601671,4.1996484,4.187194,4.172091,4.172091,-0.0275574,-0.0124544000000001,-0.0020455999999997,2.4999442,2.9058871,3.0385082,3.0385082,0.538564,0.0450922,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1435556526966691,0.4056641139987865,0.7142249692717375,0.3085859874321892,0.0709737825351608,0.2189857590983131,17.695891783567134,-0.0270189749022948,3.523079141657834,-4.8864308250582855,-0.4231129111619268,0.9505710306406686,,,,0.5414345620418339,0.5234062095373501,0.4066833564385785,0.4443066056249785,0.7567559195974056,0.4860759215313754,0.5234062095373501,0.115149366098217,0.2
30,routine_05c,93.82869080779945,110.8753970474482,0.8865523379036749,0.982968424684134,-0.513927576601671,4.199666,4.186808,4.171881,4.171881,-0.0277849999999997,-0.0128579999999995,-0.0022555999999998,2.499998,2.906838,3.041603,3.041603,0.5416049999999997,0.0481869999999999,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.151381169511645,0.4269154273130782,0.752482699381704,0.3120202340134866,0.0683315213316207,0.2202077428677886,17.471322645290577,-0.0334411580625064,3.741379488850357,-6.009126788766328,-0.2138229751390756,0.9382869080779944,,,,0.5701144245007483,0.6808735001080325,0.4172825254448702,0.5396812436667162,0.843811084232732,0.4775858183755612,0.6808735001080325,0.1497921700237671,0.2
40,routine_05c,93.08356545961004,112.22985340296552,0.8851357407026123,0.9933865442077948,-0.513927576601671,4.199646,4.1863866,4.171286,4.171286,-0.0283600000000001,-0.0132594000000008,-0.0028505999999994,2.499983,2.9064963,3.0421832,3.0421832,0.5422002000000004,0.0487672000000003,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1584883811947969,0.4413665162833211,0.7800738111721277,0.3349948647228162,0.0665014634875802,0.2204734295855737,17.33559118236473,-0.0390319747184579,3.537103002737435,-6.61905833256593,0.0375749135537341,0.9308356545961004,,,,0.5852871254056202,0.7847203784668608,0.4209944825297995,0.5964597426062023,0.8816851607821057,0.5189653440542151,0.7847203784668608,0.1726384832627094,0.2
50,routine_05c,92.74791086350976,112.93648774696854,0.8836187907648053,0.997928027362006,-0.513927576601671,4.1996303,4.1861653,4.171058,4.171058,-0.0285722999999995,-0.013465,-0.0030785999999993,2.499927,2.9057872,3.0415292,3.0415292,0.5416021999999998,0.0481131999999999,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1616807610484676,0.4488498095862071,0.7882147420636643,0.3512512133306276,0.0652142508417106,0.2212625112350161,17.14019639278557,-0.0412803863672039,3.5366469110911822,-7.081986763461279,-0.0466314616909698,0.9274791086350976,,,,0.5916890755741888,0.8208481684757438,0.4284344295451205,0.6199419647623687,0.8957754617084352,0.5237668066806416,0.8208481684757438,0.1805865970646636,0.2
60,routine_05c,92.50974930362116,112.69808951779837,0.8828858770166009,0.994995516020168,-0.513927576601671,4.199662,4.1857753,4.1704392,4.1704392,-0.0292228000000003,-0.0138866999999995,-0.0036974,2.499999,2.9041452,3.0391333,3.0391333,0.5391343000000002,0.0457173000000001,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1679778985424873,0.4601356985784305,0.8103872397348317,0.3298304343056657,0.0641055672390019,0.2229377273443733,16.966541082164326,-0.0490990450536208,3.761486272292496,-7.453222872347243,-0.0796571001034282,0.987085940170305,,,,0.613913788899468,0.8764766865956276,0.4326278647334232,0.6528910934848198,0.2526871763329008,0.510435341674601,0.8764766865956276,0.1928248710510381,0.2
70,routine_05c,92.31894150417828,113.62623422929236,0.8816865398206932,1.001827212904804,-0.513927576601671,4.199635,4.1855493,4.1701202,4.1701202,-0.0295147999999993,-0.0140856999999998,-0.0040163999999993,2.4999292,2.902973,3.0370693,3.0370693,0.5371401000000002,0.0436533000000003,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1701167980730862,0.4674586636069512,0.8234923534211841,0.3561314135056207,0.0633965919840901,0.223385055436006,17.19803607214429,-0.0546768047401959,3.538347448579921,-7.900175096590623,-0.3401808185109911,0.9850500066873727,,,,0.6228872119203789,0.891382479486372,0.4457722551584955,0.6755677433464872,0.2903970866578998,0.5471654089402842,0.891382479486372,0.1961041454870018,0.2
80,routine_05c,92.35515320334264,113.68834330584464,0.8804458390550784,1.000964288126962,-0.513927576601671,4.199642,4.185151,4.169441,4.169441,-0.0302009999999999,-0.0144909999999995,-0.0046955999999998,2.4999812,2.902898,3.0352452,3.0352452,0.5352639999999997,0.0418292,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1734012183590005,0.4697651625129387,0.8318867938984715,0.3336063575642286,0.0621921877475763,0.2251858603012709,17.20585170340682,-0.057669529676918,3.760223638673436,-8.066126690058129,-0.555633229623494,0.9854363882242798,,,,0.6306760370874323,0.9110088423210329,0.4561015021569699,0.6925172031069189,0.2833053573811559,0.5230070278155742,0.9110088423210329,0.2004219453106272,0.2
90,routine_05c,92.28969359331477,113.6116588084012,0.8788882190555559,0.9985194847406318,-0.513927576601671,4.199647,4.184934,4.169021,4.169021,-0.0306259999999998,-0.0147129999999995,-0.0051155999999998,2.499928,2.9035802,3.034213,3.034213,0.5342849999999997,0.0407969999999999,1.36156501128282,0.7174584411637338,,1.8977615052857009,,,0.1768504692974208,0.4811893809193504,0.8450133712449613,0.3513510146314206,0.0613172301179467,0.2266228456366036,17.59304809619239,-0.059430251219358,3.7415337237461994,-8.380420222609096,-0.7888034622922908,0.9847379292921788,,,,0.6335849115562442,0.9279594569408404,0.4675920067025871,0.7145615474908884,0.2961018677547025,0.5251886836671832,0.9279594569408404,0.2041510805269848,0.2
