metric,title_ko,unit,family,aging_hint,n,cycle_start,cycle_end,early_median,late_median,delta_late_early,pct_change,slope_per_100,trend_label,vs_expectation,note
SoHQ,용량 유지율,%,capacity,decrease,29,7.0,238.0,97.72280377074776,86.75177838181712,-10.971025388930641,-11.226678897453715,-4.347416540570601,flat,stable,"용량 유지율: early=97.72 → late=86.75 (Δ=-10.97, -4.347%/100cyc) → flat · stable"
CE,쿨롱 효율,%,capacity,decrease,29,7.0,238.0,101.92403159082365,116.90435258263656,14.980320991812917,14.697535760704362,6.029742889391213,increasing,opposite_aging,"쿨롱 효율: early=101.9 → late=116.9 (Δ=+14.98, +6.03%/100cyc) → increasing · opposite_aging"
VE,전압 효율,1,capacity,decrease,29,7.0,238.0,0.9062231089674828,0.8626790007116032,-0.04354410825587962,-4.805009696286842,-0.018349211429462012,flat,stable,"전압 효율: early=0.9062 → late=0.8627 (Δ=-0.04354, -0.018351/100cyc) → flat · stable"
EE,에너지 효율,1,capacity,decrease,29,7.0,238.0,0.9239269725816452,1.0089744002736687,0.08504742769202345,9.204994573800908,0.03324330320951395,flat,stable,"에너지 효율: early=0.9239 → late=1.009 (Δ=+0.08505, +0.033241/100cyc) → flat · stable"
Q_relax_pct,완화 용량 회복,%,capacity,increase,30,7.0,239.0,-0.445318373720422,0.0193445424209702,0.4646629161413922,104.34398029871434,0.254403012670205,increasing,matches_aging,"완화 용량 회복: early=-0.4453 → late=0.01934 (Δ=+0.4647, +0.2544%/100cyc) → increasing · matches_aging"
R_ohmic_soc50,옴 저항 (SOC50),mΩ,resistance,increase,30,7.0,239.0,1.0923388242834964,2.7438201810922216,1.6514813568087252,151.1876461858792,0.7975217047439566,increasing,matches_aging,"옴 저항 (SOC50): early=1.092 → late=2.744 (Δ=+1.651, +0.7975mΩ/100cyc) → increasing · matches_aging"
R_ct_soc50,전하전달 저항 (SOC50),mΩ,resistance,increase,30,7.0,239.0,0.7378859130012685,0.901629745510454,0.16374383250918556,22.19094166511132,0.06968148709212427,increasing,matches_aging,"전하전달 저항 (SOC50): early=0.7379 → late=0.9016 (Δ=+0.1637, +0.06968mΩ/100cyc) → increasing · matches_aging"
tau_ct_soc50,Rct 시정수 τ,s,resistance,either,0,,,,,,,,insufficient_data,n/a,
mech_vs_chem_ratio,기계/화학 비,1,resistance,increase,30,7.0,239.0,1.4803627566767474,3.043178416367374,1.5628156596906266,105.56977691055785,0.7968481167948328,increasing,matches_aging,"기계/화학 비: early=1.48 → late=3.043 (Δ=+1.563, +0.79681/100cyc) → increasing · matches_aging"
R_ohmic_growth_100,RΩ 성장률 /100cyc,mΩ/100cyc,resistance,either,17,120.0,239.0,1.1036303217236674,0.7864196937184406,-0.3172106280052268,-28.742471257024018,-0.3212869562628113,decreasing,context,"RΩ 성장률 /100cyc: early=1.104 → late=0.7864 (Δ=-0.3172, -0.3213mΩ/100cyc/100cyc) → decreasing · context"
R_ohmic_frac_soc50,RΩ / R30s 분율,1,resistance,increase,0,,,,,,,,insufficient_data,n/a,
EoC_dchgR_10s,EoC 방전 10s DCIR,mΩ,resistance,increase,29,7.0,238.0,0.1733118715609723,0.2370962260945113,0.063784354533539,36.803222975466646,0.03014240510261068,increasing,matches_aging,"EoC 방전 10s DCIR: early=0.1733 → late=0.2371 (Δ=+0.06378, +0.03014mΩ/100cyc) → increasing · matches_aging"
hyst_area_low,저SOC 히스테리시스,V,shape,increase,29,7.0,238.0,0.0867695893426034,0.0439001417765957,-0.0428694475660077,-49.40607405290442,-0.01805731974807383,decreasing,opposite_aging,"저SOC 히스테리시스: early=0.08677 → late=0.0439 (Δ=-0.04287, -0.01806V/100cyc) → decreasing · opposite_aging"
hyst_area_high,고SOC 히스테리시스,V,shape,increase,29,7.0,238.0,0.2143052268322057,0.2347854660068578,0.020480239174652082,9.55657474032935,0.009043741650024435,flat,stable,"고SOC 히스테리시스: early=0.2143 → late=0.2348 (Δ=+0.02048, +0.009044V/100cyc) → flat · stable"
dchg_plateau_width,방전 플래토 폭,Q-units,shape,decrease,29,7.0,238.0,17.420945891783568,14.330557114228457,-3.090388777555111,-17.739500465429174,-1.201124922162986,decreasing,matches_aging,"방전 플래토 폭: early=17.42 → late=14.33 (Δ=-3.09, -1.201Q-units/100cyc) → decreasing · matches_aging"
delta_dchg_plateau_V,방전 플래토 ΔV,V,shape,either,29,7.0,238.0,-0.0332378001619493,-0.1064848272088805,-0.0732470270469312,-220.37266813699827,-0.032125614817403475,decreasing,context,"방전 플래토 ΔV: early=-0.03324 → late=-0.1065 (Δ=-0.07325, -0.03213V/100cyc) → decreasing · context"
chg_dQdV_peak1_V,충전 dQ/dV 피크1 V,V,shape,either,29,7.0,239.0,3.4644874579741645,3.760653158811016,0.29616570083685145,8.548615182750073,0.05425343454506496,flat,context,"충전 dQ/dV 피크1 V: early=3.464 → late=3.761 (Δ=+0.2962, +0.05425V/100cyc) → flat · context"
LAM_curve_proxy,LAM 곡선 proxy,%,shape,either,29,7.0,238.0,-1.95941913092994,-12.31447091098612,-10.355051780056181,-528.4755883312048,-4.261942664763259,decreasing,context,"LAM 곡선 proxy: early=-1.959 → late=-12.31 (Δ=-10.36, -4.262%/100cyc) → decreasing · context"
LLI_curve_proxy,LLI 곡선 proxy,%,shape,either,29,7.0,238.0,-0.2131536519563965,1.2600587064626012,1.4732123584189978,691.1504189101877,0.4021026370766251,increasing,context,"LLI 곡선 proxy: early=-0.2132 → late=1.26 (Δ=+1.473, +0.4021%/100cyc) → increasing · context"
RCF,Rate capability factor,1,transport,decrease,29,7.0,238.0,0.9772280377074778,0.9672432415004916,-0.009984796206986224,-1.0217468003077355,0.001694272827307955,flat,stable,"Rate capability factor: early=0.9772 → late=0.9672 (Δ=-0.009985, +0.0016941/100cyc) → flat · stable"
PER,분극 효율 비,1,transport,increase,0,,,,,,,,insufficient_data,n/a,
eta_max,최대 과전위 η,V,transport,increase,0,,,,,,,,insufficient_data,n/a,
eta_argmax_SOC,η 최댓값 SOC,%,transport,either,0,,,,,,,,insufficient_data,n/a,
LAM_PE_pattern_score,PE activity 패턴,0–1,mechanism,increase,30,7.0,239.0,0.5224456409005453,0.9484348044029384,0.425989163502393,81.537509389132,0.17171160830288537,increasing,matches_aging,"PE activity 패턴: early=0.5224 → late=0.9484 (Δ=+0.426, +0.17170–1/100cyc) → increasing · matches_aging"
contact_loss_score,접촉/스택 손실,0–1,mechanism,increase,30,7.0,239.0,0.7446532438957023,0.9904671404768748,0.24581389658117248,33.010518465639244,0.15763678458520086,increasing,matches_aging,"접촉/스택 손실: early=0.7447 → late=0.9905 (Δ=+0.2458, +0.15760–1/100cyc) → increasing · matches_aging"
LLI_pattern_score,LLI 패턴,0–1,mechanism,increase,29,7.0,238.0,0.2803764160078323,0.5707967588932348,0.29042034288540247,103.5823009012604,0.1047215061622283,increasing,matches_aging,"LLI 패턴: early=0.2804 → late=0.5708 (Δ=+0.2904, +0.10470–1/100cyc) → increasing · matches_aging"
interface_R_score,계면 R 패턴,0–1,mechanism,increase,29,7.0,238.0,0.383221684469831,0.8502237692783973,0.46700208480856625,121.86212412657217,0.20276221074899842,increasing,matches_aging,"계면 R 패턴: early=0.3832 → late=0.8502 (Δ=+0.467, +0.20280–1/100cyc) → increasing · matches_aging"
solid_diffusion_score,고체확산 제한,0–1,mechanism,increase,29,7.0,238.0,0.4263597913672701,0.5751167800446372,0.14875698867736709,34.89001347906808,-0.0010565693673342598,flat,stable,"고체확산 제한: early=0.4264 → late=0.5751 (Δ=+0.1488, -0.0010570–1/100cyc) → flat · stable"
PE_side_score,PE lean 점수,0–1,electrode,increase,30,7.0,239.0,0.4806165633151758,0.8108546262091709,0.3302380628939951,68.71133625027267,0.13490706233374383,increasing,matches_aging,"PE lean 점수: early=0.4806 → late=0.8109 (Δ=+0.3302, +0.13490–1/100cyc) → increasing · matches_aging"
contact_stack_score,contact_stack lean,0–1,electrode,increase,30,7.0,239.0,0.7446532438957023,0.9904671404768748,0.24581389658117248,33.010518465639244,0.15763678458520086,increasing,matches_aging,"contact_stack lean: early=0.7447 → late=0.9905 (Δ=+0.2458, +0.15760–1/100cyc) → increasing · matches_aging"
NE_side_score,NE 가설 점수,0–1,electrode,increase,30,7.0,239.0,0.1638237136570545,0.2996163099942547,0.1357925963372002,82.88946289025402,0.08159623960940075,increasing,matches_aging,"NE 가설 점수: early=0.1638 → late=0.2996 (Δ=+0.1358, +0.08160–1/100cyc) → increasing · matches_aging"
si_cosign,Si co-sign,0–1,electrode,increase,30,7.0,239.0,0.2,0.4,0.2,100.0,0.10750759239233597,increasing,matches_aging,"Si co-sign: early=0.2 → late=0.4 (Δ=+0.2, +0.10750–1/100cyc) → increasing · matches_aging"
